# Table 4.15, Peters Petrophysics Volume 1, page 202
Layer	Thickness	Permeability	Porosity	Water Saturation
 1	1.51	 1500.0	0.20	0.14
 2	2.11	 4380.0	0.24	0.10
 3	0.60	 1516.0	0.22	0.14
 4	0.75	 2127.0	0.23	0.13
 5	2.41	 4065.0	0.25	0.10
 6	2.26	 1686.0	0.21	0.14
 7	1.32	 3636.0	0.27	0.11
 8	0.74	11970.0	0.27	0.07
 9	5.29	 4851.0	0.26	0.10
10	4.56	 3482.0	0.26	0.11
11	1.03	 3703.0	0.24	0.11
12	0.59	 2277.0	0.23	0.13
13	3.38	 3276.0	0.25	0.11
14	2.50	 3000.0	0.27	0.11
15	0.29	 3600.0	0.27	0.11
16	2.28	 5244.0	0.27	0.10
17	3.72	 3483.0	0.26	0.11
18	0.57	 3300.0	0.21	0.11
19	0.29	   21.0	0.16	0.47
20	2.57	 4441.0	0.27	0.10
21	0.86	 2730.0	0.24	0.12
22	5.15	 5075.0	0.28	0.10
23	1.72	 1893.0	0.19	0.13
24	1.43	 3583.0	0.27	0.11
25	2.55	 3876.0	0.27	0.11
26	0.56	 3300.0	0.28	0.11
27	1.41	  779.0	0.23	0.18
28	1.69	 4551.0	0.27	0.10
29	0.28	   27.0	0.23	0.44
30	0.28	 1560.0	0.16	0.14
31	0.28	 7330.0	0.22	0.09
32	0.56	    0.6	0.17	0.74
33	1.41	 4557.0	0.23	0.10
34	0.85	    1.0	0.16	0.71
